dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2024-11-21,2024-11-21 13:24:39,CUST000000089455,360509,1,2000000317908,1,USD,$32,6%,4,web,SAVE50
2024-11-21,2024-11-21 02:42:32,CUST000000139848,360510,1,2000000277233,1,INR,3281,12%,347,web,FEST20
2024-11-21,2024-11-21 06:21:23,CUST000000122121,360511,1,2000000440491,1,INR,9522,11%,1519,web,
2024-11-21,2024-11-21 09:51:20,CUST000000124358,360512,1,2000000107066,1,AUD,8,16%,1,app,NEW10
2024-11-21,2024-11-21 09:51:20,CUST000000124358,360512,2,2000000265797,1,AUD,245,10%,27,app,NEW10
2024-11-21,2024-11-21 09:51:20,CUST000000124358,360512,3,2000000476896,1,AUD,60,2%,8,app,NEW10
2024-11-21,2024-11-21 09:51:20,CUST000000124358,360512,4,2000000201009,1,AUD,182,21%,18,app,NEW10
2024-11-21,2024-11-21 10:31:07,CUST000000092070,360513,1,2000000472539,1,AED,671,1%,81,web,FEST20
2024-11-21,2024-11-21 10:31:07,CUST000000092070,360513,2,2000000213361,1,AED,264,0%,48,web,FEST20
2024-11-21,2024-11-21 10:31:07,CUST000000092070,360513,3,2000000453354,1,AED,14,8%,3,web,FEST20
2024-11-21,2024-11-21 10:31:07,CUST000000092070,360513,4,2000000034300,1,AED,28,0%,4,web,FEST20
2024-11-21,2024-11-21 07:15:39,CUST000000177460,360514,1,2000000316963,1,AED,88,0%,5,app,PRIME5
2024-11-21,2024-11-21 07:15:39,CUST000000177460,360514,2,2000000210445,1,AED,34,3%,6,app,PRIME5
2024-11-21,2024-11-21 20:58:02,CUST000000035780,360515,1,2000000437514,1,USD,$21,12%,1,web,
2024-11-21,2024-11-21 22:44:46,CUST000000278427,360516,1,2000000465234,1,CAD,25,7%,5,web,
2024-11-21,2024-11-21 09:21:47,CUST000000143371,360517,1,2000000109084,1,INR,102315,6%,11561,app,
2024-11-21,2024-11-21 20:17:45,CUST000000082720,360518,1,2000000465593,1,INR,21103,26%,1870,app,PRIME5
2024-11-21,2024-11-21 03:03:48,CUST000000059928,360519,1,2000000043036,1,AUD,292,9%,48,app,
2024-11-21,2024-11-21 16:57:56,CUST000000031105,360520,1,2000000072265,4,INR,92832,10%,40171,app,FEST20
2024-11-21,2024-11-21 21:45:48,CUST000000120799,360521,1,2000000148533,1,CAD,702,28%,26,app,PRIME5
2024-11-21,2024-11-21 21:45:48,CUST000000120799,360521,2,2000000183725,3,CAD,9,12%,3,app,PRIME5
2024-11-21,2024-11-21 21:45:48,CUST000000120799,360521,3,2000000031897,1,CAD,230,6%,39,app,PRIME5
2024-11-21,2024-11-21 04:38:16,CUST000000256544,360522,1,2000000040264,1,INR,3750,0%,451,app,
2024-11-21,2024-11-21 04:38:16,CUST000000256544,360522,2,2000000055350,1,INR,1494,23%,58,app,
