dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-11-12,2025-11-12 03:09:21,CUST000000003530,760784,1,2000000013077,3,CAD,89,6%,46,app,
2025-11-12,2025-11-12 19:37:14,CUST000000137351,760785,1,2000000301167,1,USD,$18,16%,1,app,
2025-11-12,2025-11-12 19:37:14,CUST000000137351,760785,2,2000000125756,1,USD,$119,0%,6,app,
2025-11-12,2025-11-12 14:29:16,CUST000000054614,760786,1,2000000067643,1,INR,340,11%,16,web,
2025-11-12,2025-11-12 03:21:35,CUST000000210798,760787,1,2000000324678,1,INR,1263,9%,58,app,FEST20
2025-11-12,2025-11-12 03:21:35,CUST000000210798,760787,2,2000000347646,1,INR,4801,4%,230,app,FEST20
2025-11-12,2025-11-12 04:44:34,CUST000000149992,760788,1,2000000127941,1,INR,404,9%,45,app,
2025-11-12,2025-11-12 03:59:06,CUST000000123976,760789,1,2000000136974,1,INR,10612,14%,455,web,
2025-11-12,2025-11-12 03:59:06,CUST000000123976,760789,2,2000000052410,1,INR,2057,19%,201,web,
2025-11-12,2025-11-12 03:59:06,CUST000000123976,760789,3,2000000223339,1,INR,3071,2%,362,web,
2025-11-12,2025-11-12 03:59:06,CUST000000123976,760789,4,2000000376172,1,INR,864,9%,95,web,
2025-11-12,2025-11-12 09:47:21,CUST000000177609,760790,1,2000000003269,1,USD,$64,18%,10,web,
2025-11-12,2025-11-12 17:36:50,CUST000000110057,760791,1,2000000480886,1,INR,722,3%,35,app,
2025-11-12,2025-11-12 17:36:50,CUST000000110057,760791,2,2000000007502,1,INR,698,4%,121,app,
2025-11-12,2025-11-12 17:36:50,CUST000000110057,760791,3,2000000300122,1,INR,13103,22%,1850,app,
2025-11-12,2025-11-12 07:23:16,CUST000000229043,760792,1,2000000265131,Two,USD,$30,11%,3,web,
2025-11-12,2025-11-12 22:42:46,CUST000000183451,760793,1,2000000036533,Two,INR,5395,9%,493,app,
2025-11-12,2025-11-12 22:57:23,CUST000000059965,760794,1,2000000004846,4,INR,17111,19%,6646,app,PRIME5
2025-11-12,2025-11-12 22:57:23,CUST000000059965,760794,2,2000000430867,1,INR,31530,16%,1321,app,PRIME5
2025-11-12,2025-11-12 22:57:23,CUST000000059965,760794,3,2000000424415,1,INR,56735,10%,6098,app,PRIME5
2025-11-12,2025-11-12 17:16:35,CUST000000082710,760795,1,2000000449661,1,INR,74828,10%,3363,app,FEST20
2025-11-12,2025-11-12 17:16:35,CUST000000082710,760795,2,2000000056289,1,INR,12980,2%,1530,app,FEST20
2025-11-12,2025-11-12 12:41:16,CUST000000173795,760796,1,2000000087856,1,CAD,83,9%,4,app,
